Amount_paid,Currency_Code,period_name,Employee_id,Employee_name,Position_name
-435.03346,TND,JAN-2025,,,
288.6554,QAR,JAN-2025,,,
437.27758,QAR,JAN-2025,,,
-734.62933,QAR,JAN-2025,,,
27273.41785,KES,JAN-2025,,,
0,VND,JAN-2025,,,
3012.60815,USD,JAN-2025,,,
0,EUR,JAN-2025,,,
157.3062,EUR,JAN-2025,,,
-205.01509,EUR,JAN-2025,,,
0,GBP,JAN-2025,,,
9425.4224,EGP,JAN-2025,,,
136.91542,EUR,JAN-2025,,,
154660.76985,VND,JAN-2025,,,
-3826.17684,ZAR,JAN-2025,,,
-1436.4894,AUD,JAN-2025,,,
0,IDR,JAN-2025,,,
53463.76715,KRW,JAN-2025,,,
0,KRW,JAN-2025,,,
-239547.3534127974570265926154541479,KRW,JAN-2025,,,
-56.14778499232366991658392825653626,GBP,JAN-2025,,,
0,ZAR,JAN-2025,,,
-2894.282356073459410143157282400751,ZAR,JAN-2025,,,
-2881.48183,ZAR,JAN-2025,,,
-76487.8898,JPY,JAN-2025,,,
582.3951,JPY,JAN-2025,,,
-190859.00489,INR,JAN-2025,,,
358.39255,BRL,JAN-2025,,,
9770.9293,INR,JAN-2025,,,
34557.20256,INR,JAN-2025,,,
146538.67296,CLP,JAN-2025,,,
-353.11154,NZD,JAN-2025,,,
-3722458.47307,KRW,JAN-2025,,,
3722458.47307,KRW,JAN-2025,,,
0,KRW,JAN-2025,,,
2208.74765,JPY,JAN-2025,,,
42566.5081,JPY,JAN-2025,,,
26885.29938,KES,JAN-2025,,,
0,AUD,JAN-2025,,,
342524.18843,DZD,JAN-2025,,,
73293.20805,INR,JAN-2025,,,
49795.55165,INR,JAN-2025,,,
0,CNY,JAN-2025,,,
0,CNY,JAN-2025,,,
37.65282,CNY,JAN-2025,,,
774.45847,PEN,JAN-2025,,,
542.65903,EUR,JAN-2025,,,
0,CLP,JAN-2025,,,
-514.5798009607916420492497665761048,BRL,JAN-2025,,,
270585.33924,CLP,JAN-2025,,,
976.913,USD,JAN-2025,,,
0,USD,JAN-2025,,,
158.41546,EUR,JAN-2025,,,
1800.29016,EUR,JAN-2025,,,
-95.39413,EGP,JAN-2025,,,
82.18571,EGP,JAN-2025,,,
136.05121,SAR,JAN-2025,,,
0,SAR,JAN-2025,,,
4025.454,MXN,JAN-2025,,,
-6661.80123,SAR,JAN-2025,,,
-186.53312,SAR,JAN-2025,,,
0,EGP,JAN-2025,,,
145605.66968,INR,JAN-2025,,,
1589.19778,AED,JAN-2025,,,
-1677.70631,AED,JAN-2025,,,
24976.8196,INR,JAN-2025,,,
8569.75847,INR,JAN-2025,,,
438247.56235,CLP,JAN-2025,,,
359.08127,EUR,JAN-2025,,,
7942.72712,CNY,JAN-2025,,,
5298.65659,CNY,JAN-2025,,,
1641.33224,CHF,JAN-2025,,,
809.51579,CHF,JAN-2025,,,
-3554.19601,CHF,JAN-2025,,,
0,AED,JAN-2025,,,
694.83536,EUR,JAN-2025,,,
122.46057,GBP,JAN-2025,,,
1907.99453,CNY,JAN-2025,,,
-2811.23109,USD,JAN-2025,,,
2623.37813,USD,JAN-2025,,,
0,MXN,JAN-2025,,,
27053.47488,INR,JAN-2025,,,
0,INR,JAN-2025,,,
-386545.57864,INR,JAN-2025,,,
25746.4116,JPY,JAN-2025,,,
-282918.32888,JPY,JAN-2025,,,
42365.05464,JPY,JAN-2025,,,
0,AED,JAN-2025,,,
0,ILS,JAN-2025,,,
0,AED,JAN-2025,,,
0,AED,JAN-2025,,,
3859.78387,JPY,JAN-2025,,,
108326.67236,JPY,JAN-2025,,,
13526.47473,JPY,JAN-2025,,,
-168777.91318,JPY,JAN-2025,,,
3673.41206,EGP,JAN-2025,,,
12.89589,EUR,JAN-2025,,,
-169495.38585,HUF,JAN-2025,,,
-6383.85976,USD,JAN-2025,,,
-734615.31587,HUF,JAN-2025,,,
-4828.1039,USD,JAN-2025,,,
26.99907,BRL,JAN-2025,,,
0,ARS,JAN-2025,,,
0,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
-1213.558702297882728314455359505676,EUR,JAN-2025,,,
1287.63707,EUR,JAN-2025,,,
50.09401,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
634.81212,EUR,JAN-2025,,,
202.82192,EUR,JAN-2025,,,
0,CNY,JAN-2025,,,
1176.47402,CNY,JAN-2025,,,
-12166.89258,CNY,JAN-2025,,,
4.39636,USD,JAN-2025,,,
173.21068,USD,JAN-2025,,,
-359.24619,USD,JAN-2025,,,
-21054.93488,AED,JAN-2025,,,
-4229.57203,CHF,JAN-2025,,,
1325.80453,CHF,JAN-2025,,,
-12156.3099,SAR,JAN-2025,,,
325.01469,USD,JAN-2025,,,
-786.74211,USD,JAN-2025,,,
0,VND,JAN-2025,,,
5.25062,EUR,JAN-2025,,,
50212.72908,INR,JAN-2025,,,
63385.80564,INR,JAN-2025,,,
-166845.64909,INR,JAN-2025,,,
-70409.1197,INR,JAN-2025,,,
16314.32118,INR,JAN-2025,,,
-28723.94246,MXN,JAN-2025,,,
-363928.54454,JPY,JAN-2025,,,
196807.95621,JPY,JAN-2025,,,
87207.09976,JPY,JAN-2025,,,
53114.96734,JPY,JAN-2025,,,
73738.76256,JPY,JAN-2025,,,
0,COP,JAN-2025,,,
221166.40498,KES,JAN-2025,,,
80901.81395,KES,JAN-2025,,,
0,KES,JAN-2025,,,
5337.28106,CNY,JAN-2025,,,
5921.71741,INR,JAN-2025,,,
-316001.14388,INR,JAN-2025,,,
0,AZN,JAN-2025,,,
0,SGD,JAN-2025,,,
2318.33093,SGD,JAN-2025,,,
134.41513,EUR,JAN-2025,,,
15.63535,EUR,JAN-2025,,,
-479.329964895345911378962372128726,EUR,JAN-2025,,,
297.79563,EUR,JAN-2025,,,
220.07149,EUR,JAN-2025,,,
37.76106,EUR,JAN-2025,,,
344.96409,GBP,JAN-2025,,,
1575.56231,GBP,JAN-2025,,,
-109.8414650166871345454512894924345,EUR,JAN-2025,,,
-16.54562172564354739002252657681473,EUR,JAN-2025,,,
-664.64758,EUR,JAN-2025,,,
-2951.58403,CNY,JAN-2025,,,
-4659.17321,ZAR,JAN-2025,,,
-1491036.52374,ARS,JAN-2025,,,
0,PEN,JAN-2025,,,
0,PEN,JAN-2025,,,
0,PEN,JAN-2025,,,
77726.89798,JPY,JAN-2025,,,
175413.14844,JPY,JAN-2025,,,
0,SAR,JAN-2025,,,
0,SAR,JAN-2025,,,
-161316.78833,INR,JAN-2025,,,
-5750.14652,QAR,JAN-2025,,,
0,KRW,JAN-2025,,,
942.65042,USD,JAN-2025,,,
-4431.2409,USD,JAN-2025,,,
0,USD,JAN-2025,,,
99.99197,USD,JAN-2025,,,
-166.66031,USD,JAN-2025,,,
620.7408,MYR,JAN-2025,,,
8691.7293,EGP,JAN-2025,,,
4312.7952,EGP,JAN-2025,,,
219.98874,CNY,JAN-2025,,,
6130.27867,KES,JAN-2025,,,
32453.80629,KES,JAN-2025,,,
0,CNY,JAN-2025,,,
0,MXN,JAN-2025,,,
0,MXN,JAN-2025,,,
0,QAR,JAN-2025,,,
0,CNY,JAN-2025,,,
2397.55609,TWD,JAN-2025,,,
8503.18605,TWD,JAN-2025,,,
0,RON,JAN-2025,,,
2358.65698,RON,JAN-2025,,,
-6624.50707,RON,JAN-2025,,,
0,BRL,JAN-2025,,,
381.97288,BRL,JAN-2025,,,
372.6853,USD,JAN-2025,,,
1313.3089,USD,JAN-2025,,,
0,NZD,JAN-2025,,,
1021.18464,NZD,JAN-2025,,,
-1021.18464,NZD,JAN-2025,,,
419206.96894,INR,JAN-2025,,,
0,AZN,JAN-2025,,,
280.75965,AZN,JAN-2025,,,
0,USD,JAN-2025,,,
0,GBP,JAN-2025,,,
0,VND,JAN-2025,,,
0,VND,JAN-2025,,,
0,VND,JAN-2025,,,
75905.4947,JPY,JAN-2025,,,
0,JPY,JAN-2025,,,
29846.30795,KES,JAN-2025,,,
13430.56845,KES,JAN-2025,,,
568.42732,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
11062.52027,ZAR,JAN-2025,,,
-32040.63398687183497872725933592163,ZAR,JAN-2025,,,
-141724.6871253947228974456638808747,ZAR,JAN-2025,,,
8879.74718,ZAR,JAN-2025,,,
854.55544,ZAR,JAN-2025,,,
-36564.57311632879636989201236260938,ZAR,JAN-2025,,,
-3310.09678,TND,JAN-2025,,,
0,TND,JAN-2025,,,
18103.60157,DZD,JAN-2025,,,
129.80582,DZD,JAN-2025,,,
5350339.2624,DZD,JAN-2025,,,
288.95594,GBP,JAN-2025,,,
-1945.66032,GBP,JAN-2025,,,
253.74396,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
2596.152,AED,JAN-2025,,,
925.49233,AUD,JAN-2025,,,
413.21979,AUD,JAN-2025,,,
-3340.6513,AUD,JAN-2025,,,
0,USD,JAN-2025,,,
251.69647,EUR,JAN-2025,,,
448893.83369,VND,JAN-2025,,,
0,VND,JAN-2025,,,
110870.36504,VND,JAN-2025,,,
1660.65082,JPY,JAN-2025,,,
0,TRY,JAN-2025,,,
3330.69776,TRY,JAN-2025,,,
-3330.69776,TRY,JAN-2025,,,
-3765.20354,CNY,JAN-2025,,,
1241.23174,CNY,JAN-2025,,,
2303.98306,CNY,JAN-2025,,,
-189484.51623,KES,JAN-2025,,,
0,JPY,JAN-2025,,,
0,JPY,JAN-2025,,,
1702.66423,USD,JAN-2025,,,
1354.55825,USD,JAN-2025,,,
0,GBP,JAN-2025,,,
1079.54848,USD,JAN-2025,,,
1603.2302,USD,JAN-2025,,,
1275.45329,USD,JAN-2025,,,
24004.50354,JPY,JAN-2025,,,
-25817.22637,JPY,JAN-2025,,,
1811.36689,CNY,JAN-2025,,,
3038.33782,CNY,JAN-2025,,,
-7153.75889,CNY,JAN-2025,,,
0,IDR,JAN-2025,,,
6282001.38774,IDR,JAN-2025,,,
-6637894.03407,IDR,JAN-2025,,,
-5688.87287,SGD,JAN-2025,,,
1895.65579,EUR,JAN-2025,,,
0,EUR,JAN-2025,,,
-127.34183,EUR,JAN-2025,,,
-292.34484,EUR,JAN-2025,,,
1495.56834,SAR,JAN-2025,,,
-3399.36413,CNY,JAN-2025,,,
180.73879,CNY,JAN-2025,,,
31181.52553,CNY,JAN-2025,,,
4103.32194,CNY,JAN-2025,,,
1051.83294,CNY,JAN-2025,,,
0,CNY,JAN-2025,,,
-26772.43593,PKR,JAN-2025,,,
-32342.82107005848573276581703390978,PKR,JAN-2025,,,
-9123904.80517,IDR,JAN-2025,,,
0,IDR,JAN-2025,,,
640789.09721,IDR,JAN-2025,,,
12229.15306,BDT,JAN-2025,,,
80757.90152,KES,JAN-2025,,,
0,CNY,JAN-2025,,,
0,QAR,JAN-2025,,,
0,QAR,JAN-2025,,,
295.09948,EUR,JAN-2025,,,
1139.92691,EUR,JAN-2025,,,
-1780.11391,EUR,JAN-2025,,,
23.35424,CNY,JAN-2025,,,
-23.35424,CNY,JAN-2025,,,
5072.76364,TWD,JAN-2025,,,
4265.85009,RON,JAN-2025,,,
0,CHF,JAN-2025,,,
0,CHF,JAN-2025,,,
0,CHF,JAN-2025,,,
