name,title,earning_group,category,sub_category
,"Dir, Oncology Channel Co",Guarantee Extended,ONC,Others
,"Dir, Oncology Channel Co",Initial Patients Points,ONC,Initial Patients
,"Dir, Oncology Channel Co",MBO,ONC,Others
,"Dir, Oncology Channel Co",Patient Retention,ONC,Others
,Director of Oncology Collaborations,Above Goal Empower,ONC,Others
,Director of Oncology Collaborations,Above Goal Follow On Points,ONC,Follow On Patients
,Director of Oncology Collaborations,Above Goal Initial Patients Points,ONC,Initial Patients
,Director of Oncology Collaborations,Access Milestone,ONC,Others
,Director of Oncology Collaborations,Bonus,ONC,Others
,Director of Oncology Collaborations,CHS Team Performance,ONC,Others
,Director of Oncology Collaborations,Commission Adjustment,ONC,Others
,Director of Oncology Collaborations,Follow On Points,ONC,Follow On Patients
,Director of Oncology Collaborations,Growth Commission,ONC,Others
,Director of Oncology Collaborations,Guarantee Extended,ONC,Others
,Director of Oncology Collaborations,Initial Patients Points,ONC,Initial Patients
,Director of Oncology Collaborations,MBO,ONC,Others
,Director of Oncology Collaborations,Patient Retention,ONC,Others
,Director of Strategic Acc,Above Goal Empower,ONC,Others
,Director of Strategic Acc,Above Goal Follow On Points,ONC,Follow On Patients
,Director of Strategic Acc,Above Goal Initial Patients Points,ONC,Initial Patients
,Director of Strategic Acc,Access Milestone,ONC,Others
,Director of Strategic Acc,Bonus,ONC,Others
,Director of Strategic Acc,CHS Team Performance,ONC,Others
,Director of Strategic Acc,Commission Adjustment,ONC,Others
,Director of Strategic Acc,Follow On Points,ONC,Follow On Patients
,Director of Strategic Acc,Growth Commission,ONC,Others
,Director of Strategic Acc,Guarantee Extended,ONC,Others
,Director of Strategic Acc,Initial Patients Points,ONC,Initial Patients
,Director of Strategic Acc,MBO,ONC,Others
,Director of Strategic Acc,Patient Retention,ONC,Others
,Patient Retention Specialist,Above Goal Empower,ONC,Others
,Patient Retention Specialist,Above Goal Follow On Points,ONC,Follow On Patients
,Patient Retention Specialist,Above Goal Initial Patients Points,ONC,Initial Patients
,Patient Retention Specialist,Access Milestone,ONC,Others
,Patient Retention Specialist,Bonus,ONC,Others
,Patient Retention Specialist,CHS Team Performance,ONC,Others
,Patient Retention Specialist,Commission Adjustment,ONC,Others
,Patient Retention Specialist,Follow On Points,ONC,Follow On Patients
,Patient Retention Specialist,Growth Commission,ONC,Others
,Patient Retention Specialist,Guarantee Extended,ONC,Others
,Patient Retention Specialist,Initial Patients Points,ONC,Initial Patients
,Patient Retention Specialist,MBO,ONC,Others
,Patient Retention Specialist,Patient Retention,ONC,Others
,RD-GU-OS,Above Goal Empower,ONC,Others
,RD-GU-OS,Above Goal Follow On Points,ONC,Follow On Patients
,RD-GU-OS,Above Goal Initial Patients Points,ONC,Initial Patients
,RD-GU-OS,Access Milestone,ONC,Others
,RD-GU-OS,Bonus,ONC,Others
,RD-GU-OS,CHS Team Performance,ONC,Others
,RD-GU-OS,Commission Adjustment,ONC,Others
,RD-GU-OS,Follow On Points,ONC,Follow On Patients
,RD-GU-OS,Growth Commission,ONC,Others
,RD-GU-OS,Guarantee Extended,ONC,Others
,RD-GU-OS,Initial Patients Points,ONC,Initial Patients
,RD-GU-OS,MBO,ONC,Others
,RD-GU-OS,Patient Retention,ONC,Others
,RD-GYN-OS,Above Goal Empower,ONC,Others
,RD-GYN-OS,Above Goal Follow On Points,ONC,Follow On Patients
,RD-GYN-OS,Above Goal Initial Patients Points,ONC,Initial Patients
,RD-GYN-OS,Access Milestone,ONC,Others
,RD-GYN-OS,Bonus,ONC,Others
,RD-GYN-OS,CHS Team Performance,ONC,Others
,RD-GYN-OS,Commission Adjustment,ONC,Others
,RD-GYN-OS,Follow On Points,ONC,Follow On Patients
,RD-GYN-OS,Growth Commission,ONC,Others
,RD-GYN-OS,Guarantee Extended,ONC,Others
,RD-GYN-OS,Initial Patients Points,ONC,Initial Patients
,RD-GYN-OS,MBO,ONC,Others
,RD-GYN-OS,Patient Retention,ONC,Others
,RD-OS,Above Goal Empower,ONC,Others
,RD-OS,Above Goal Follow On Points,ONC,Follow On Patients
,RD-OS,Above Goal Initial Patients Points,ONC,Initial Patients
,RD-OS,Access Milestone,ONC,Others
,COS-Exec,Commission Adjustment,ONC,Others
,COS-Exec,Follow On Points,ONC,Follow On Patients
,COS-Exec,Growth Commission,ONC,Others
,COS-Exec,Guarantee Extended,ONC,Others
,COS-Exec,Initial Patients Points,ONC,Initial Patients
,COS-Exec,MBO,ONC,Others
,COS-Exec,Patient Retention,ONC,Others
,COS-GU,Above Goal Empower,ONC,Others
